"tweet_id","created_at","engagements","followers_at_post","url","text"
"1998882110724071805","2025-12-10T22:26Z","1200000","250100","https://x.com/ProjectConstitu/status/1998882110724071805","🚨 CANDACE OWENS JUST ENDED ERIKA KIRK ON LIVE PODCAST: WE NOW KNOW EXACTLY WHO SHE IS @RealCandaceO held nothing back tonight: I was giving Erika the benefit of the doubt grieving widow new CEO massive transition I wanted to wait and see. Well we waited. And tonight on Fox News she just showed her true colors in 4K. Erika Kirk went full scripted meltdown on Harris Faulkner: Called us all conspiracy theorists making money off trauma Demanded we stop investigating her husbands murder Defended the FBI like theyre the second coming Cried my team is exhausted while sitting on a $100M organization"
"1987582365531853305","2025-11-09T18:05Z","1100000","202300","https://x.com/ProjectConstitu/status/1987582365531853305","🚨 CHILLING PREMONITION: 20 MINS BEFORE Charlie Kirk's ASSASSINATIONMikey McCoy's 4K VIDEO Captures A SHADOWY FIGURE ON THE ROOF OF THE LOSEE BLDG Sniper Patsy Or Glitch😱 Fresh from Mikey McCoy's phone: Crystal-clear footage of Charlie hyping the UVU crowd tossing MAGA hats like confetti. Smiles everywhere. but zoom in on the Losee Building roof. What's THAT A silhouette lurking Scoped rifle glint This drops RIGHT BEFORE the shots echo. Is It a person a shadow or what You tell MEwatch frame-by-frame and DECIDE. Evidence like this is why they paved the scene overnight. No more hiding 🔥 Tag"
"1937994457665728913","2025-06-25T22:00Z","1100000","135500","https://x.com/ProjectConstitu/status/1937994457665728913","🚨 BREAKING: Submarine Spotted Off the Coast of Myrtle Beach 🌊🧨 A man is going viral after claiming he saw a submarine just yards offshore at Myrtle Beach South Carolina and now the Coast Guard and local police have swarmed the area. 🎥 In his video lifeguards are seen urgently clearing the beach Coast Guard aircraft hovering and beachgoers running for safety. He says ""That was 150% a submarine"" and alleges multiple news outlets are contacting him behind the scenes for his raw footage not to air it but to possibly cover it up. 💥 Heres what makes this even more insane: 👉 Why isnt this"
"1998576274999054654","2025-12-10T02:11Z","1100000","257800","https://x.com/ProjectConstitu/status/1998576274999054654","🚨BREAKING: CANDACE OWENS Just Went LIVE Visibly SHAKEN: The French President's ALLEGED HITMAN Has MOVED To Her Town In TENNESSEE🤯 His real name: Arcadi Gaydamak (Russian-Israeli billionaire French intelligence asset convicted arms trafficker) His current alias: Jonathan Schmidt His new job: Tech officer at Root Brands in Nashville (a billionaire doesnt need a day job) When he moved: June 2025 Where hes house-hunting: Brentwood/Franklin area Who hes bringing in: Hand-picked Ukrainian war refugees (including a guy named Alex Smirnoff) Candace revealed this on air yesterday after SEVEN"
"2035267475625885728","2026-03-21T08:09Z","1100000","284300","https://x.com/ProjectConstitu/status/2035267475625885728","🚨 EXPOSED: Joe Rogan and Mark Normand Just Went SCORCHED Earth On Erika Kirks ""Crazy Eyes"" And Calling Out Her Past Of Being A ""STAR FU*KER""😱 The JRE crew isn't buying the act. From reality TV to ""CIA films"" to ""Star Fu*ker"" behavior the history of the woman who ""married"" Charlie Kirk is getting darker by the day. The Takeaways: ""Star Fucker"": Mark Normand calls it like it isseeking fame and wealthy men at any cost. The ""CIA Films"": Rogan muses over Erika's past CIA connectionsErika was allegedly in ""weird internal CIA films."" ""Crazy Eyes"": Even Joe sees the intensity that looks more like a"
"1949765285541499077","2025-07-28T09:34Z","1100000","284500","https://x.com/ProjectConstitu/status/1949765285541499077","🚨BREAKING UPDATE: The Woman Who We Exposed In The Below Viral Video Interfering With An ICE Apprehension HAS OFFICIALLY Been Arrested And Charged Federally. She was taken into custody this morning and hit with charges under 18 U.S.C. 111 assaulting resisting or impeding federal officers. A criminal arrest warrant was signed off by a federal judge. Once Again Great Job ICE And Yet Another Lesson For These Dumb Libtards FAFO 🔥 🚨TODAY IN ENCINITAS: Heres another Yoga Hoser Brainwashed Valley Girl California Democrat who also needs to learn the meaning of FAFO. Hey @ICEgov charge her next This"
"2038167542057857524","2026-03-29T08:13Z","1100000","284500","https://x.com/ProjectConstitu/status/2038167542057857524","🚨EXPOSED: Here's What Joe Kent COULDN'T Say On Alex Jones Show12 FOREIGN Cell Phones Were On The Ground At UVU When Charlie Kirk Was Assassinated.😱 When Joe Kent went on Alex Jones and admitted his team discovered a ""foreign nexus"" immediately following the assassination of Charlie Kirk he was careful not to name the specific country. But when you piece together his timeline with the massive bombshell just dropped by @RealCandaceO the entire cover-up falls apart. We know exactly what the FBI was trying to hide. Here are the facts: Kent confirmed that the second his team found leads"
"1931255372020355479","2025-06-07T07:42Z","1100000","127500","https://x.com/ProjectConstitu/status/1931255372020355479","🚨BREAKING: The Trump vs. Elon Feud Yeah We Got Played. 🎭 What looked like a chaotic fight was actually a perfectly executed trap and the left walked right into it. 😂 Heres how it went: 1 Trump disowns Elon on CNN 📺 2 Elon pretends to beef with Trump on X 👀 3 Leftists think Elon is one of them again 4 Suddenly theyre buying Teslas 🚗 loving SpaceX 🚀 & boosting X 📱 5 BOOM X shoots back to the #1 news app in America 🔥This wasnt a feud. It was a covert PR operation to get the heat off Elons companies and manipulate the left into supporting everything they claimed to hate. You think Trump"
"1966177030887845923","2025-09-11T16:28Z","1100000","252300","https://x.com/ProjectConstitu/status/1966177030887845923","🚨 BREAKING: FBI Names PERSON OF INTEREST in Charlie Kirk Assassination This suspect is armed & dangerousauthorities NEED YOUR TIPS to bring him to justice. He must be found & held accountable Call NOW: 1-800-CALL-FBI or contact @FBISaltLakeCity. Share to spread the word"
"2000070289636438054","2025-12-14T05:08Z","1000000","240400","https://x.com/ProjectConstitu/status/2000070289636438054","🚨EXPOSED: Erika Kirk's Bizarre CBS Excuse for Egyptian Surveillance Flights She Debunks Claim NOBODY Made About Egyptian Planes Why So Defensive Erika Kirk just went on a PRE-STAGED CBS Town Hall (complete with Deep State favorite Bari Weiss as the ""interviewer"") and delivered the most tone-deaf strawman-filled rant yet about the Egyptian planes tracking her. She actually laughed off the Egyptian surveillance flights as haha funny becauseshe claimsshe was pregnant for 90% of those trips and too busy craving In-N-Out and chocolate milkshakes to hop on any Egyptian plane. Hold up. NOBODY ever"
